Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20
,Amsterdam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,8,8,11,20,31,31,39,56,61,85,195,198,201,205,252,299,353,415,483,538,578,626,674,730,771,818,887,916,940,951,1004,1087,1137,1182,1212,1258,1285,1340,1413,1481,1535,1570,1608,1647,1698,1731,1773,1814,1834,1849,1887,1913,1944,1979,1993,1998,2039,2071,2107,2128,2142,2161,2183,2192,2203,2223,2236,2250,2256,2260,2265,2275,2288,2297,2304,2308,2312,2316,2322,2329,2339,2345,2354,2354,2364,2367,2367,2367,2367,2430,2447,2458,2482,2498,2506
,Berlin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9,15,24,28,40,48,90,137,174,216,265,300,383,519,688,868,1025,1071,1219,1425,1425,1937,2152,2337,2462,2581,2679,2777,3223,3486,3626,3687,3687,3862,4038,4202,4357,4458,4567,4601,4667,4736,4848,4971,5091,5159,5225,5265,5341,5408,5476,5532,5600,5677,5707,5738,5881,5887,5943,6004,6010,6086,6092,6149,6203,6242,6261,6272,6274,6298,6342,6393,6428,6447,6474,6478,6507,6555,6585,6611,6637,6642,6652,6672,6703,6738,6767,6799,6816,6839,6873,6901,6945,6964,6997,7016,7042,7082,7135,7193
,Bogota,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,8,13,20,26,31,40,55,70,90,119,149,177,234,307,362,433,504,559,651,745,834,947,1027,1097,1172,1224,1298,1376,1439,1490,1545,1661,1738,1819,1876,1940,2062,2131,2214,2315,2407,2483,2575,2733,2826,2903,2976,3109,3217,3365,3500,3628,3732,3820,3930,4073,4243,4401,4597,4807,4955,5133,5356,5638,5862,6096,6303,6566,6947,7376,7760,8022,8420,8746,9030,9395,9824,10197,10561,10972,11327,11695,12170,12621,13018,13420,13845,14181,14486,14727,14874,14924,14940,14940
,Brisbane,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,111,136,158,180,208,228,267,297,330,343,352,385,404,433,460,477,480,493,503,504,511,520,527,535,539,541,543,545,548,555,558,558,562,562,562,562,562,564,565,565,566,566,566,566,567,569,573,573,573,573,573,573,573,578,579,579,580,580,580,581,581,582,582,582,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,583,582,581
,Buenos Aires,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,13,16,19,23,31,37,44,78,85,116,146,167,197,240,258,292,311,321,345,373,407,439,456,480,498,521,532,578,586,596,618,648,663,677,691,706,728,761,800,837,916,971,1007,1039,1089,1123,1168,1197,1255,1304,1347,1404,1506,1583,1713,1796,1961,2098,2286,2465,2618,2833,3026,3173,3342,3566,3823,4202,4606,5006,5500,5875,6202,6564,6989,7388,7848,8206,8206,8851,8851,9754,9754,10649,11010,11010,11010,12487,13026,13591
,Cairo,26.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,11,12,12,13,16,22,22,30,40,40,52,58,60,67,75,83,94,102,110,118,125,135,146,160,178,203,220,242,272,299,322,350,370,400,426,452,485,517,551,587,626,649,688,720,755,803,844,891,936,987,1041,1087,1143,1217,1278,1334,1406,1486,1566,1647,1750,1850,1940,2012,2084,2153,2235,2318,2419,2525,2635,2784,2938,3097,3259,3409,3564,3709,3872,4060,4293,4559,4841,5158,5447,5685,5908,6146,6424,6733,7036,7318,7604,7904,8202,41303
,Caracas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,4,4,5,5,6,6,7,7,8,8,9,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,13,14,14,16,18,18,19,20,20,20,20,21,21,21,21,21,22,22,23,23,24,24,24,25,26,27,27,28,29,29,32,34,39,48,53,56,60,65,72,75,77,80,85,88,93,97,107,117,125,134,138,149,153,159,169,176,181,185
,Casablanca,31.7917,-7.0926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,8,10,12,15,18,22,29,36,45,53,63,73,81,86,93,104,121,135,148,157,169,182,192,204,220,233,250,268,302,339,356,378,403,425,456,473,498,516,539,546,563,572,586,605,627,650,670,692,717,735,757,783,803,832,851,863,876,882,893,910,921,931,945,956,972,982,985,998,1004,1007,1013,1022,1031,1035,1038,1043,1050,1061,1070,1080,1090,1100,1118,1128,1132,8610
,Chicago,,,504141266,500591588,497041910,493492232,489942554,486392876,482843198,479293520,475743842,472194164,468644486,465094808,461545130,457995452,454445774,450896096,447346418,443796740,440247062,436697384,433147706,429598028,426048350,422498672,418948994,415399316,411849638,408299960,404750282,401200604,397650926,394101247,390551568,387001889,383452210,379902531,376352852,372803173,369253494,365703815,362154136,358604457,355054778,351505099,347955420,344405741,340856062,337306383,333756704,330207025,326657346,323107667,319557988,316008309,312458630,308908951,305359272,301809593,298259914,294710235,291160556,287610877,284061198,280511519,276961840,273412161,269862482,266312803,262763124,259213445,255663766,252114087,248564408,245014729,241465050,237915371,234365692,230816013,227266334,223716655,220166976,216617297,213067618,209517939,205968260,202418581,198868902,195319223,191769544,188219865,184670186,181120507,177570828,174021149,170471470,166921791,163372112,159822433,156272754,152723075,149173396,145623717,142074038,138524359,134974680,131425001,127875322,124325643,120775964,117226285,113676606,110126927,106577248,103027569,99477890,95928211,92378532,88828853,85279174,81729495,78179816,74630137,71080458,67530779,63981100,60431421,56881742,53332063,49782384,46232705,42683026,39133347,35583668,32033989,28484310,24934631,21384952,17835273,14285594,10735915,7186236,3636557,86878
,Dar es Salaam,-6.369,34.8888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,4,4,4,4,6,6,6,6,6,6,7,7,7,8,8,10,10,10,16,17,29,31,48,48,56,84,84,94,94,99,99,99,99,99,159,159,159,159,159,159,159,159,159,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,509
,Doha,25.3548,51.1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,5,59,59,72,76,90,99,99,102,103,106,108,111,113,118,121,123,126,133,143,156,176,188,214,242,299,362,413,464,498,536,567,615,672,729,773,837,926,1052,1130,1229,1357,1474,1612,1752,1924,2112,2322,2538,2691,2836,3027,3182,3357,3510,3655,3869,4057,4264,4560,4815,5083,5332,5677,5991,6382,6642,6992,7360,7668,8038,8374,8725,9138,9529,9868,10263,10657,11049,11493,11943,12475,12847,13191,13603,14032,14389,14785,15169,15529,15838,16226,16614,16947,76588
,Dubai,24.0,54.0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,6,7,7,7,9,9,9,9,15,15,15,25,25,29,29,29,33,33,33,38,48,48,52,52,68,85,114,114,139,161,196,210,228,280,352,434,517,619,714,811,914,1028,1156,1285,1418,1555,1697,1846,2004,2168,2168,2333,2499,2668,2834,3013,3193,3376,3561,3729,3915,4104,4294,4486,4679,4873,5068,5227,5415,5588,5778,5993,6262,6496,6765,7015,7255,7512,7786,8037,8324,8624,8948,9255,9597,9877,10146,10428,10697,11000,11194,11414,11664,11891,12109,12315,12511,12738,12953,13168,13354,13549,13731,13938,14103,41499
,Edinburgh,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,5,4,3,2,1
,Hong Kong,22.3,114.2,0,2,2,5,8,8,8,10,10,12,13,15,15,17,21,24,25,26,29,38,49,50,53,56,56,57,60,62,63,68,68,69,74,79,84,91,92,94,95,96,100,100,105,105,107,108,114,115,120,126,129,134,140,145,155,162,181,208,256,273,317,356,386,410,453,519,561,641,682,714,765,802,845,862,890,914,935,960,973,989,1000,1004,1009,1012,1017,1017,1021,1024,1025,1025,1029,1033,1035,1035,1037,1037,1037,1037,1037,1037,1039,1039,1039,1040,1040,1040,1044,1044,1044,1047,1047,1047,1050,1051,1052,1052,1055,1055,1055,1055,1055,1065,1065,1065,1065,1065,1066,1066,1079,1082,1084,1087,1093,1093,1099,1102,1105,1106,1107,1107,1107,1107,1108
84015003,US,USA,840,15003.0,Honolulu,0,US,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,99,102,105,108,111,114,117,120,123,126,129,132,135,138,141,144,147,150,153,156,159,162,165,168,171,174,177,180,1
