Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20
,Chile,-35.6751,-71.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,8,8,13,23,23,43,61,74,155,201,238,238,434,537,632,746,922,1142,1306,1610,1909,2139,2449,2738,3031,3404,3737,4161,4471,4815,5116,5546,5972,6501,6927,7213,7525,7917,8273,8807,9252,9730,10088,10507,10832,11296,11812,12306,12858,13331,13813,14365,14885,16023,17008,18435,19663,20643,22016,23048,24581,25972,27219,28866,30063,31721,34381,37040,39542,41428,43781,46059,49579,53617,57581,61857,65393,69102,73997,77961,82289,86943,90638,94858,99688,105158,108686,113628,118292,122499,127745,134150,138846,142759,148456,154092,160846,167355,174293,179436,184449,220628,225103,231393,236748,242355,246963,250767,254416,259064,263360,267766,271982,275999,279393,282043,284541,288089,291847,295532
,Santiago,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,9,10,14,23,29,40,54,123,152,174,247,304,359,409,459,540,682,746,938,1084,1167,1295,1420,1521,1636,1742,1957,2102,2244,2350,2548,2832,3193,3448,3599,3803,4086,4334,4682,4915,5192,5381,5643,5788,6083,6434,6761,7165,7496,7858,8300,8889,9625,10516,11661,12656,13528,14707,15582,16828,17979,18957,20353,21317,22709,24965,27216,29276,30794,32684,34451,37591,41179,44641,48350,51399,54544,58930,62285,66011,69915,72910,76251,80504,85239,88194,92191,95890,99066,103194,108462,112136,115126,119746,124135,129694,134751,140398,144280,148302,180532,183553,187974,191577,195366,198392,200861,203211,206246,208862,211819,214388,216896,219151,220467,221820,223892,226128,228208
,Latin America,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,14,14,17,22,28,43,54,84,95,117,157,192,364,455,536,821,1142,1425,1991,2741,3634,4967,5923,6932,7977,9386,10881,12582,13997,15281,17917,20771,23447,25832,28613,31123,33663,37154,42954,47782,54027,57541,61296,66024,69684,75799,80896,87290,93399,99227,104385,110104,116937,125907,144947,156287,164303,172372,184235,196266,210747,224394,236817,250851,264943,279532,298277,316370,335983,353235,367338,380092,397337,419917,444230,472435,495938,513825,538107,568761,602362,635614,670227,701263,731935,758587,791718,830740,873859,917997,970285,1006928,1036819,1078385,1129579,1178753,1228804,1273853,1311756,1344009,1392756,1446929,1499418,1544473,1588923,1631964,1672845,1726629,1810698,1855080,1933897,1990807,2032371,2075497,2138024,2200204,2266144,2337152,2400374,2456824,2497882,2554634,2624999,2699146,2769091,2833692,2884050
,Arica y Parinacota,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,4,6,6,6,7,12,12,28,41,53,63,75,87,107,115,115,120,124,129,134,142,145,161,170,180,210,239,245,252,265,268,272,279,297,307,308,308,315,318,325,327,337,340,351,351,359,363,368,377,378,398,422,424,453,471,482,498,513,522,541,562,582,588,619,636,654,701,736,782,819,850,874,914,930,967,1011,1062,1109,1139,1156,1218,1239,1295,1325,1371,1420,1443,1473,1511,1549,1611,1649,1685,1713,1776,1832,1889,1949,2006
,Tarapaca,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,5,5,6,8,10,10,12,13,17,20,21,23,26,29,35,38,46,52,62,62,66,73,81,90,93,104,114,128,134,143,156,164,169,183,198,200,212,272,295,322,339,417,459,485,520,547,578,615,682,779,845,975,1056,1109,1139,1246,1393,1471,1564,1630,1737,1811,1957,2093,2250,2361,2526,2594,2682,2810,2965,3094,3250,3392,3491,3591,3696,3823,4004,4145,4258,4365,4787,4869,4995,5143,5258,5355,5442,5504,5577,5712,5771,5893,5974,6049,6116,6215,6298,6372,6508
,Antofagasta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,10,11,11,13,19,20,21,25,27,35,35,39,47,54,55,60,68,69,77,92,110,117,138,149,155,176,192,211,226,249,263,291,326,340,366,391,443,457,481,514,546,589,679,740,760,811,855,895,923,947,978,1014,1109,1216,1277,1331,1429,1505,1589,1648,1731,1778,1841,1897,1947,2015,2063,2137,2248,2318,2429,2510,2585,2649,2716,2862,2924,3033,3154,3245,3402,3559,3753,3885,4038,4286,4556,4643,5241,5528,5828,6215,6461,6708,6991,7227,7515,7742,8027,8308,8625,8829,9083,9285,9570,9823,10119
,Atacama,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,5,6,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,18,21,24,29,35,35,42,43,43,59,67,70,78,80,87,88,117,124,133,134,139,140,143,146,149,157,158,163,168,175,182,182,185,188,197,202,207,215,218,232,236,242,258,269,281,306,339,348,365,389,413,436,448,484,502,561,586,623,650,683,718,747,785,837,887,925,956,1006,1043,1114,1135,1166,1208,1253
,Coquimbo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,11,12,13,14,15,18,27,28,30,34,35,44,50,51,52,56,61,61,64,66,66,66,66,68,68,68,68,69,69,70,70,72,73,73,74,74,76,76,77,78,88,91,97,97,100,111,129,135,140,148,153,165,180,187,194,212,239,263,268,281,294,323,338,384,455,482,537,597,628,668,687,718,772,832,898,990,1123,1175,1256,1345,1438,1512,1556,1676,1720,1980,2076,2195,2273,2359,2428,2485,2539,2637,2705,2781,2857,2961,3050,3119,3170,3224,3333,3434
,Valparaiso,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,13,16,19,25,32,44,49,71,80,108,115,136,156,176,185,191,198,214,225,230,241,248,254,273,285,299,330,345,359,381,388,403,421,429,436,454,460,485,493,526,559,568,614,638,656,687,716,781,828,878,933,970,1029,1123,1213,1312,1365,1474,1553,1639,1770,1887,2020,2116,2230,2305,2455,2576,2730,2842,3037,3167,3348,3595,3769,4017,4266,4580,4862,5149,5391,5614,5865,6171,6527,6758,7012,7262,8253,8473,8758,9014,9298,9615,9901,10187,10482,10797,11054,11307,11541,11752,12008,12201,12465,12766,13051
,O’Higgins,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,8,8,9,11,14,16,20,21,21,23,26,32,33,38,41,42,42,43,44,44,45,46,48,53,54,54,55,55,55,56,57,59,76,81,85,92,94,97,104,108,109,120,125,131,136,145,151,167,182,195,216,224,248,295,323,329,366,418,442,455,465,492,518,554,588,654,691,705,745,756,785,813,843,931,967,1016,1111,1183,1255,1317,1442,1552,1629,1788,1927,2012,2221,2797,3017,3311,3613,3952,4186,4361,4610,4868,5136,5322,5606,5844,6081,6245,6445,6625,6859,7068
