Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20
,Czechia,49.8175,15.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,12,18,19,31,31,41,91,94,141,189,253,298,396,464,694,833,995,1120,1236,1394,1654,1925,2279,2631,2817,3001,3308,3508,3858,4091,4472,4587,4822,5017,5312,5569,5732,5831,5991,6059,6111,6216,6433,6549,6606,6746,6900,7033,7132,7187,7273,7352,7404,7445,7504,7579,7682,7737,7755,7781,7819,7896,7974,8031,8077,8095,8123,8176,8221,8269,8351,8406,8455,8475,8586,8647,8721,8754,8813,8890,8955,9002,9050,9086,9140,9196,9230,9268,9302,9364,9438,9494,9529,9567,9628,9697,9751,9824,9855,9938,9991,10024,10064,10111,10162,10280,10406,10448,10498,10523,10650,10777,10870,11038,11298,11603,11805,11954,12046,12178,12319,12440,12515,12566,12685
,European Union,,,0,0,2,3,3,4,8,10,10,14,19,21,29,30,31,31,32,41,44,44,47,48,49,50,51,51,52,52,53,55,56,56,61,63,78,109,175,237,370,561,773,977,1383,2026,3041,3947,4968,6054,8639,11705,12889,21871,26564,31757,39435,47322,56995,70915,85166,100100,114096,135974,155088,180419,209768,239252,269588,293653,321615,353404,384920,415148,446842,474571,496374,519838,545719,574064,601184,628358,649807,693349,712041,729993,754260,789319,812230,828567,849704,865456,883128,900763,918904,933412,945186,955151,967742,980126,991111,1001907,1012772,1021201,1028534,1035524,1045250,1057971,1068633,1078992,1086204,1092756,1102582,1110630,1118182,1125379,1132609,1138263,1142780,1148321,1155834,1163019,1169351,1176732,1181365,1185565,1189630,1195156,1200563,1207988,1213780,1219676,1223191,1226763,1230685,1236232,1240893,1246069,1251117,1255291,1259082,1263586,1267970,1273011,1278806,1283503,1287384,1291056,1295699,1300870,1307334,1313626,1317668,1320996,1324304,1330217,1335423,1340969,1346441,1350396,1353343,1359228,1363217,1368144,1372711,1377449,1381136,1384203,1389783,1393374
,Europe,,,0,0,2,3,3,4,8,10,10,16,21,23,31,32,33,33,35,44,47,47,50,51,52,53,54,54,55,55,56,58,76,118,216,292,400,563,832,1128,1502,2259,2821,3494,4495,5914,7717,9870,12399,15283,18885,24287,28161,39747,47955,56776,67740,79212,93168,112495,132920,154500,174296,201098,225654,256558,292472,328371,365100,394922,427439,464070,501129,537243,574743,608463,635911,664362,695032,728999,762595,796571,825181,875705,900597,925090,956290,999291,1030645,1055815,1086226,1108705,1134652,1161224,1187255,1211079,1231692,1250739,1271369,1292572,1311967,1331902,1352267,1372452,1391446,1409827,1430118,1454586,1477587,1499651,1518058,1535369,1556553,1575737,1593432,1611002,1628781,1643744,1657768,1671506,1688076,1703282,1717982,1733814,1747460,1759609,1771285,1784809,1797952,1813139,1826842,1840709,1852524,1864094,1875761,1889093,1901473,1914739,1927700,1939541,1951135,1962781,1974218,1987160,2000543,2013073,2024449,2035294,2046939,2059214,2072450,2085581,2096110,2105582,2115943,2128066,2139733,2151659,2163353,2173256,2182189,2194066,2203706,2214142,2224869,2235730,2244970,2254078,2265421,2274442
,Ustecky,50.568,13.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,8,8,11,12,12,16,16,17,19,20,23,26,26,31,34,37,39,44,50,64,69,83,93,103,136,200,212,247,267,276,280,292,309,338,348,360,375,382,383,385,396,408,417,418,424,434,454,466,467,475,475,479,480,482,487,490,490,492,492,492,493,494,496,496,499,500,502,505,507,510,512,514,519,524,524,525,526,527,528,528,529,530,534,535,539,540,540,541,548,550,551,551,551,551,551,551,551,551,551,551,551,551,552,552,554,554,554,554,554,554,555,555,555,555,555,556,556,556,557,557,557,558,558,568
,Hlavni mesto Praha,50.0625,14.476500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,7,9,18,22,25,36,44,49,62,86,113,144,180,203,237,269,299,322,353,438,517,592,677,716,745,816,865,956,1044,1133,1159,1179,1230,1266,1317,1357,1396,1423,1438,1447,1459,1484,1518,1542,1587,1594,1612,1629,1638,1658,1666,1680,1682,1685,1690,1698,1708,1717,1728,1731,1738,1751,1760,1771,1798,1809,1810,1824,1839,1854,1869,1882,1912,1921,1936,1948,1956,1968,1978,1983,1985,1989,1994,2003,2022,2027,2041,2050,2057,2069,2093,2103,2106,2109,2116,2122,2133,2143,2157,2175,2193,2207,2218,2232,2249,2261,2277,2292,2298,2305,2321,2341,2359,2362,2375,2382,2388,2396,2403,2413,2426,2434,2438,2443,2454
,Stredocesky,50.058,14.4665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,12,21,23,31,32,51,60,78,106,126,129,133,175,199,213,244,285,304,317,362,391,416,442,467,503,520,562,584,627,648,685,702,714,718,730,750,775,788,795,801,817,824,837,843,849,856,863,868,881,882,887,897,900,901,903,909,921,924,929,932,938,944,947,959,988,990,995,998,1002,1008,1016,1019,1023,1025,1029,1029,1032,1035,1038,1042,1051,1051,1051,1051,1053,1056,1057,1061,1062,1066,1068,1081,1090,1099,1108,1117,1123,1131,1132,1136,1140,1143,1144,1148,1157,1166,1172,1177,1180,1183,1190,1195,1198,1205,1223,1240,1250,1255,1262
,Zlinsky,49.196,17.764499999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,13,16,21,22,25,40,45,47,53,63,68,75,88,92,102,112,127,129,144,150,156,186,192,194,197,211,230,235,242,251,258,258,260,262,263,266,278,280,285,292,293,315,316,318,324,325,326,326,326,326,326,326,328,328,331,332,333,334,335,337,339,339,340,340,341,341,342,343,343,350,350,355,355,357,362,362,366,366,366,366,366,366,367,367,367,367,367,367,368,368,368,368,368,368,369,369,369,369,369,370,370,370,374,375,375,375,375,375,375,375,376,376,377,379,379,379,381
,Kralovehradecky,50.409000000000006,15.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,7,8,8,10,14,14,14,15,17,18,19,32,41,48,52,73,83,87,97,104,112,125,134,136,141,150,154,158,162,164,166,166,168,169,172,172,173,173,173,173,173,173,173,174,175,176,176,176,176,177,177,178,179,180,182,183,184,186,188,188,188,189,190,190,190,190,191,192,192,192,192,192,192,192,192,193,193,193,193,194,194,194,195,195,196,196,196,196,196,197,199,199,199,199,199,199,200,200,200,200,200,203,204,207,209,210,210,210,211,212,212,214,216,216,216,216,220
,Olomouc Region,49.861999999999995,17.319000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,8,22,32,38,39,55,57,66,76,98,100,125,140,168,199,232,241,268,289,310,350,373,385,419,422,454,486,539,557,575,580,583,587,591,596,607,616,617,619,630,648,658,663,666,667,667,674,674,674,676,677,677,678,682,691,694,694,694,694,699,704,705,711,714,714,714,714,714,714,716,717,719,719,719,719,719,720,722,723,727,727,732,733,737,751,757,776,790,796,808,813,818,818,818,820,825,828,832,835,839,840,841,854,860,863,872,874,877,879,883,887,889,891,892,892,892,892
,Kraj Vysocina,49.4,15.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,6,9,9,9,10,11,14,23,26,41,45,57,62,62,84,102,115,121,124,126,126,128,138,142,142,145,145,147,154,160,161,161,162,162,162,162,166,167,170,171,171,171,173,173,174,175,175,175,175,176,177,177,177,177,177,177,177,179,179,180,180,180,180,180,180,181,183,183,183,183,184,184,184,184,184,184,184,185,185,185,186,186,186,186,186,186,186,186,187,187,187,187,187,187,187,187,187,187,191,191,191,191,191,191,191,191,193,194,194,197,197,198,198,202
,Jihocesky,49.085499999999996,14.5695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,9,11,16,19,19,29,30,30,32,35,53,66,76,79,82,89,100,106,114,117,119,119,122,126,135,137,139,149,154,155,155,156,157,158,158,159,159,161,165,167,169,169,171,171,172,172,172,172,172,172,172,174,174,177,177,177,177,177,180,180,180,180,180,180,181,181,181,181,181,181,181,181,181,182,185,185,185,185,185,186,186,186,187,189,189,189,190,190,191,191,191,191,191,191,191,191,191,191,191,192,192,196,199,200,200,200,200,200,200,200,201,201,201,201,202
,Jihomoravsky,49.1225,16.5945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,11,18,25,33,38,50,58,72,81,87,95,103,115,131,144,162,171,182,213,230,245,259,277,285,296,307,321,333,338,341,346,346,354,364,377,381,384,386,393,399,411,422,424,428,430,434,438,442,442,445,446,452,455,461,471,474,479,485,490,491,494,502,503,505,505,509,511,511,514,514,515,518,520,526,531,540,549,551,553,558,563,566,569,574,576,581,581,583,584,587,591,597,599,600,606,613,614,621,624,624,624,633,646,649,650,652,652,652,653,653,660,664,668,669,669,671
,Plzensky,49.521,13.1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,8,12,12,17,19,20,20,22,23,27,33,34,59,82,86,122,127,137,148,173,212,220,267,283,318,376,383,401,430,440,467,487,492,499,516,527,537,548,555,562,569,576,580,587,589,593,598,602,606,607,611,621,624,632,634,634,637,637,637,637,640,646,648,648,648,650,652,655,655,655,655,656,657,657,660,660,660,660,660,660,660,660,661,661,661,661,661,661,661,661,661,661,661,662,662,662,666,666,666,669,669,670,670,671,673,673,673,673,676,676,677,677,677,677,677
,Karlovarsky,50.17700000000001,12.6965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,17,19,21,27,29,38,40,43,49,59,66,70,80,87,90,101,104,112,127,139,148,159,168,175,177,188,190,197,199,205,215,218,225,228,239,249,263,278,289,312,345,350,353,357,359,365,372,374,378,384,405,411,415,421,422,423,427,429,430,431,432,432,432,435,436,442,443,444,448,449,449,449,449,449,449,449,449,449,451,453,459,464,465,465,466,466,466,467,467,468,468,468,468,468,468,468,468,468,468,469,469,469,469,469,469,470,470,470,470,470,470,470,470,470
,Pardubicky,49.8935,16.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,7,9,14,15,18,21,27,28,35,42,49,56,59,66,69,77,106,114,124,156,169,172,172,181,197,201,211,215,221,222,223,233,239,242,244,247,248,250,250,254,255,261,262,263,264,265,267,268,268,268,269,270,273,274,274,274,274,275,275,275,276,277,277,277,277,278,279,281,281,281,281,281,281,282,282,282,282,282,282,282,282,282,283,283,283,283,285,286,286,286,286,286,287,287,287,288,291,293,300,303,304,304,310,310,310,310,312,312,313,313,314,314,314,314,316
,Moravskoslezsky,49.861000000000004,18.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,13,22,36,50,64,86,104,115,140,164,189,223,246,263,276,288,303,322,336,360,394,432,469,499,539,572,618,640,659,676,696,721,751,783,796,806,830,846,874,894,924,938,949,962,977,1003,1023,1046,1050,1055,1068,1079,1096,1109,1116,1121,1123,1132,1138,1145,1159,1172,1186,1190,1222,1277,1312,1330,1354,1400,1435,1476,1505,1530,1547,1558,1567,1576,1584,1599,1619,1630,1643,1650,1659,1720,1744,1752,1777,1798,1807,1811,1819,1834,1865,1909,1965,1993,2014,2028,2063,2100,2148,2196,2286,2414,2640,2739,2816,2894,3057,3138,3176,3244,3288
,Liberecky,50.748,14.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,5,6,9,9,11,13,18,21,34,50,63,68,88,100,113,129,138,143,147,156,158,167,169,171,173,177,178,179,184,186,186,187,191,191,191,191,192,193,193,194,194,194,194,194,194,195,196,196,196,197,197,198,198,198,198,198,198,198,199,199,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,201,201,201,201,202,202,202,202,202,202,202,202,203,204,204,205,218,223,241,243,244,248,250,251,251,252,255,261,277,282,295,295,295,296
