Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20
,France,46.2276,2.2137,0,0,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,14,18,38,57,100,130,191,204,285,377,653,949,1126,1209,1784,2281,2281,3661,4469,4499,6633,7652,9043,10871,12612,14282,16018,19856,22304,25233,29155,32964,37575,40174,44550,52128,56989,59105,64338,68605,70478,74390,78167,82048,86334,90676,93790,120633,124298,129257,132473,144944,146923,149365,151808,154188,156921,156973,157026,158636,160292,160847,164589,167605,167651,167698,167745,167792,167839,167886,168935,172465,173040,174318,174758,175027,175479,176207,176459,176712,177319,177397,177475,177554,178428,179069,179306,179645,179964,180065,180166,181213,182261,183309,183816,185616,185851,185952,186007,186062,186118,186670,187199,187492,187590,187925,188322,188680,189244,189637,189928,189996,190223,190534,190735,191304,191740,191745,192070,192452,192750,193048,193346,193600,193854,194109,194373,194985,195458,195904,196185,196466,196748,197089
,European Union,,,0,0,2,3,3,4,8,10,10,14,19,21,29,30,31,31,32,41,44,44,47,48,49,50,51,51,52,52,53,55,56,56,61,63,78,109,175,237,370,561,773,977,1383,2026,3041,3947,4968,6054,8639,11705,12889,21871,26564,31757,39435,47322,56995,70915,85166,100100,114096,135974,155088,180419,209768,239252,269588,293653,321615,353404,384920,415148,446842,474571,496374,519838,545719,574064,601184,628358,649807,693349,712041,729993,754260,789319,812230,828567,849704,865456,883128,900763,918904,933412,945186,955151,967742,980126,991111,1001907,1012772,1021201,1028534,1035524,1045250,1057971,1068633,1078992,1086204,1092756,1102582,1110630,1118182,1125379,1132609,1138263,1142780,1148321,1155834,1163019,1169351,1176732,1181365,1185565,1189630,1195156,1200563,1207988,1213780,1219676,1223191,1226763,1230685,1236232,1240893,1246069,1251117,1255291,1259082,1263586,1267970,1273011,1278806,1283503,1287384,1291056,1295699,1300870,1307334,1313626,1317668,1320996,1324304,1330217,1335423,1340969,1346441,1350396,1353343,1359228,1363217,1368144,1372711,1377449,1381136,1384203,1389783,1393374
,Europe,,,0,0,2,3,3,4,8,10,10,16,21,23,31,32,33,33,35,44,47,47,50,51,52,53,54,54,55,55,56,58,76,118,216,292,400,563,832,1128,1502,2259,2821,3494,4495,5914,7717,9870,12399,15283,18885,24287,28161,39747,47955,56776,67740,79212,93168,112495,132920,154500,174296,201098,225654,256558,292472,328371,365100,394922,427439,464070,501129,537243,574743,608463,635911,664362,695032,728999,762595,796571,825181,875705,900597,925090,956290,999291,1030645,1055815,1086226,1108705,1134652,1161224,1187255,1211079,1231692,1250739,1271369,1292572,1311967,1331902,1352267,1372452,1391446,1409827,1430118,1454586,1477587,1499651,1518058,1535369,1556553,1575737,1593432,1611002,1628781,1643744,1657768,1671506,1688076,1703282,1717982,1733814,1747460,1759609,1771285,1784809,1797952,1813139,1826842,1840709,1852524,1864094,1875761,1889093,1901473,1914739,1927700,1939541,1951135,1962781,1974218,1987160,2000543,2013073,2024449,2035294,2046939,2059214,2072450,2085581,2096110,2105582,2115943,2128066,2139733,2151659,2163353,2173256,2182189,2194066,2203706,2214142,2224869,2235730,2244970,2254078,2265421,2274442
,Ile-de-France,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,269,449,560,653,858,1116,1441,1770,2176,2625,2916,3348,4083,4801,5458,6208,6848,7273,7952,8852,9707,10660,11613,12212,12667,13091,13727,14684,15598,16437,17219,17522,18037,18803,19497,20125,20797,21270,21477,21850,22267,23078,23578,23864,24055,24172,24495,25155,25739,26299,26556,26680,26794,27082,27583,27903,28261,28587,28829,28913,29186,29562,29877,30071,30233,30389,30423,30665,30906,31196,31421,31620,31852,31895,31954,32069,32368,32543,32711,32883,32899,32984,33169,33250,33378,33518,33652,33671,33760,33898,33997,34079,34168,34253,34273,34380,34514,34597,34712,34845,34896,34897,34939,35011,35099,35246,35334,35362,35364,35415,35592
,Centre-Val de Loire,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,13,23,33,49,70,90,112,122,153,173,215,263,323,377,413,461,520,589,638,707,761,782,809,856,932,1022,1085,1129,1151,1194,1251,1305,1357,1381,1404,1424,1453,1479,1553,1594,1616,1626,1633,1659,1725,1790,1826,1867,1874,1879,1897,1938,1965,2000,2030,2048,2054,2078,2098,2127,2142,2150,2161,2163,2170,2192,2203,2225,2257,2260,2262,2264,2271,2286,2296,2313,2317,2321,2327,2338,2362,2369,2375,2378,2379,2380,2389,2433,2442,2448,2449,2449,2463,2470,2475,2478,2484,2485,2485,2487,2489,2496,2502,2503,2511,2512,2520,2521
,Bourgogne-Franche-Comte,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,26,45,64,77,90,115,160,205,232,260,315,370,406,442,450,523,525,571,641,713,791,889,953,1017,1138,1233,1283,1353,1473,1572,1664,1768,1889,1941,1975,2039,2175,2266,2351,2432,2496,2541,2646,2739,2841,2945,3013,3034,3083,3125,3207,3269,3327,3342,3351,3381,3466,3514,3608,3678,3704,3712,3743,3794,3840,3871,3913,3934,3936,3968,4017,4066,4124,4152,4164,4170,4220,4340,4401,4427,4481,4490,4497,4501,4531,4575,4603,4613,4619,4619,4630,4667,4696,4704,4758,4766,4771,4773,4787,4799,4804,4829,4829,4829,4837,4845,4852,4857,4858,4860,4861
,Normandie,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,21,22,23,33,47,68,82,97,121,135,155,213,270,305,351,395,419,465,539,618,657,700,750,787,808,856,909,958,1005,1056,1079,1104,1158,1195,1238,1277,1288,1303,1317,1339,1397,1414,1436,1444,1447,1476,1500,1520,1536,1572,1575,1578,1598,1617,1631,1657,1675,1697,1697,1710,1727,1747,1764,1771,1781,1783,1792,1816,1858,1874,1891,1896,1896,1896,1906,1923,1930,1932,1939,1941,1945,1960,1965,1967,1977,1981,1982,1983,1986,1996,2010,2014,2028,2029,2036,2039,2046,2051,2057,2063,2065,2066,2084,2092,2094,2099,2103,2103,2108,2110
,Hauts-de-France,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,169,207,213,240,287,359,409,510,570,648,687,739,908,1053,1227,1422,1610,1673,1796,2028,2254,2418,2635,2823,2915,2975,3104,3346,3521,3716,3821,3883,4036,4354,4536,4708,4854,4953,4976,5047,5130,5310,5449,5527,5548,5581,5639,5799,5932,6058,6134,6153,6179,6235,6365,6456,6567,6674,6727,6744,6802,6906,6959,7010,7040,7076,7086,7146,7212,7265,7316,7390,7432,7442,7452,7485,7532,7592,7651,7662,7665,7691,7747,7780,7801,7830,7849,7852,7869,7896,7912,7936,7952,7965,7966,7981,8001,8034,8047,8098,8104,8110,8116,8122,8128,8135,8142,8161,8174,8181,8201
,Grand Est,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,306,335,389,467,540,587,643,797,826,1026,1032,1274,1280,1541,1544,1731,2017,2163,2406,2719,3101,3405,3854,4203,4424,4689,5135,5578,6014,6397,6589,6789,6893,7094,7573,7924,8186,8480,8602,8734,9040,9284,9529,9735,9946,10011,10155,10290,10707,10932,11099,11190,11266,11367,11564,11757,11786,11918,11989,12016,12097,12266,12434,12658,12836,12960,13010,13084,13236,13373,13435,13532,13588,13624,13722,13809,13953,14065,14178,14303,14313,14331,14416,14519,14588,14742,14790,14797,14848,14919,14982,15042,15135,15169,15173,15205,15258,15301,15343,15392,15403,15405,15451,15497,15527,15555,15595,15606,15617,15628,15640
,Pays de la Loire,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,37,44,51,63,65,75,83,106,122,151,172,205,229,253,327,378,430,496,535,564,590,661,723,773,810,866,885,911,958,1039,1111,1152,1190,1205,1225,1262,1311,1352,1393,1420,1435,1475,1480,1563,1597,1626,1634,1642,1657,1696,1728,1745,1769,1785,1790,1801,1842,1853,1890,1928,1945,1947,1968,1993,2015,2033,2045,2060,2064,2075,2093,2115,2139,2154,2173,2184,2187,2207,2231,2260,2281,2296,2300,2306,2328,2341,2368,2386,2390,2392,2396,2402,2436,2446,2462,2467,2468,2482,2487,2502,2509,2521,2524,2525,2533,2540,2551,2554,2560,2565,2565
