Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20
,Ate,,,1,2,4,5,9,10,11,15,18,23,32,33,42,48,74,89,117,151,178,201,243,277,295
,Barranco,,,1,2,4,8,9,11,12,15,17,21,34,35,39,40,47,50,57,58,60,63,65,66,67
,Brena,,,1,2,4,6,7,8,10,12,16,17,20,24,35,41,51,56,63,66,73,87,92,104,109
,Chorrillos,,,1,2,4,5,7,10,14,17,22,26,28,34,35,46,53,78,98,132,169,193,213,241,265
,Comas,,,2,3,4,5,6,7,8,11,12,15,18,23,25,31,34,42,53,83,89,105,143,175,216
,El Agustino,,,1,3,4,5,8,9,11,14,21,26,30,55,67,79,87,116,138,190,211,237,297,320,347
,Independencia,,,1,2,5,6,7,11,16,21,29,31,33,42,65,81,103,115,122,132,138,155,174,178,199
,Jesus Maria,,,1,2,5,9,17,18,20,22,23,26,33,35,37,38,43,48,61,63,72,87,122,133,145
,La Molina,,,1,3,4,8,9,10,12,13,17,23,25,26,30,37,41,46,47,48,49,68,82,92,106
,La Victoria,,,1,2,3,4,5,10,15,17,27,28,31,40,49,57,74,87,110,121,165,197,213,234,255
,Lima,,,1,4,5,8,9,10,12,17,20,25,26,28,34,36,41,53,65,81,95,104,114,121,151
,Lince,,,1,2,3,5,7,8,9,10,11,17,20,22,34,38,47,54,64,75,79,86,91,96,103
,Los Olivos,,,1,3,4,5,7,10,11,14,16,20,21,27,29,48,51,60,78,94,101,117,135,147,163
,Magdalena del Mar,,,1,2,3,5,8,10,12,15,17,24,25,27,28,32,36,38,49,56,59,70,76,81,83
,Miraflores,,,1,3,4,5,6,8,10,21,31,34,36,38,41,46,55,59,68,77,81,98,102,110,124
,Pueblo Libre,,,1,2,5,7,8,9,11,12,15,18,21,26,27,30,35,37,42,52,60,66,70,74,76
,Puente Piedra,,,1,2,3,4,9,10,11,15,18,24,29,44,70,84,104,114,122,135,149,160,179,196,216
,Rimac,,,2,3,4,5,8,15,17,22,23,29,33,49,55,67,78,100,123,141,176,189,214,226,254
,San Borja,,,1,5,7,8,10,14,15,21,22,25,28,31,35,40,41,47,50,65,74,83,97,102,106
,San Isidro,,,1,3,4,6,12,14,15,16,17,21,23,26,28,29,35,37,40,51,60,69,81,88,93
,San Juan de Lurigancho,,,1,2,3,4,6,7,8,9,10,14,15,17,20,22,25,30,40,47,62,69,88,104,144
,San Juan de Miraflores,,,1,2,8,9,10,13,16,20,25,27,38,40,46,58,81,90,119,140,177,209,246,287,314
,San Luis,,,1,2,3,5,7,8,9,11,16,18,21,22,31,39,44,52,53,58,69,72,76,80,86
,San Martin de Porres,,,1,2,3,6,8,9,11,12,14,16,22,26,32,40,46,58,64,77,109,126,145,188,228
,San Miguel,,,1,3,5,9,10,15,17,21,25,26,30,32,46,55,59,65,84,92,101,122,130,141,155
,Santa Anita,,,1,2,4,5,7,8,9,10,14,16,19,25,29,30,48,55,67,83,102,113,141,152,162
,Santiago de Surco,,,4,6,7,8,12,15,18,20,24,26,27,31,39,40,44,50,52,53,58,62,68,77,78
,Surquillo,,,1,2,3,4,6,7,11,13,16,19,20,26,30,32,37,40,42,58,67,74,80,94,108
,Villa El Salvador,,,4,6,7,10,11,21,23,29,32,47,59,80,112,156,186,221,261,301,340,399,448,479,501
,Villa Maria del Triunfo,,,1,2,5,6,7,8,9,10,15,23,26,45,60,83,117,135,153,185,239,274,298,342,393
,Bellavista,,,1,2,3,4,8,9,10,11,15,22,25,28,30,53,64,85,86,111,136,185,196,202,242
,Callao,,,1,2,3,5,8,9,13,27,29,38,184,219,251,292,373,393,418,700,724,982,1035,1073,1126
,La Perla,,,1,2,3,7,10,12,15,18,23,24,25,26,30,36,38,42,43,50,53,64,69,73,75
,La Punta,,,1,4,5,6,7,8,9,10,11,12,13,15,18,19,21,24,25,26,28,29,30,31,31
,Mi Peru,,,1,3,4,6,7,11,14,17,18,22,25,26,29,30,34,38,42,43,48,54,56,62,65
,Ventanilla,,,1,2,3,4,5,8,9,16,24,33,36,45,52,58,67,78,97,108,118,139,143,159,183
,Cono Norte,,,6,12,19,26,37,47,57,73,89,106,123,162,221,284,338,389,439,521,586,663,776,884,1022
,Cono Este,,,5,12,19,27,39,44,51,61,80,102,121,156,188,216,275,336,409,519,602,688,851,945,1054
,Cono Sur,,,7,12,24,30,35,52,62,76,94,123,151,199,253,343,437,524,631,758,925,1075,1205,1349,1473
,Lima Centro,,,19,43,66,97,134,172,204,254,304,356,407,470,557,621,723,821,970,1109,1280,1457,1615,1747,1907
,Callao,,,6,15,21,32,45,57,70,99,120,151,308,359,410,488,597,660,711,1038,1107,1453,1529,1600,1691
,Lima,,,1,5,7,8,9,15,23,30,44,65,80,96,143,196,223,250,283,309,356,441,481,502,587
