Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
,South Africa,-30.5595,22.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,13,17,24,38,51,62,62,116,150,202,240,274,402,554,709,927,1170,1187,1280,1326,1353,1380,1462,1505,1585,1655,1686,1749,1845,1934,2003,2028,2173,2272,2415,2506,2605,2783,3034,3158,3300,3465,3635,3953,4220,4361,4546,4793,4996,5350,5647,5951,6336,6783,7220,7572,7808,8232,8895,9420,10015,10652,11350,12074,12739,13524,14355,15515,16433,17200,18003,19137,20125,21343,22583,23615,24264,25937,27403,29240,30967,32683,34357,35812,37525,40792,43434,45973,48285,50879,52991,55421,58568,61927,65736,70038,73533,76334,80412,83890,87715,92681,97302,101590,106108,111796,118375,124590,131800,138134,144264
,Africa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,6,9,19,21,28,28,34,36,45,59,68,102,151,211,260,298,420,542,718,930,1185,1547,1978,2464,3002,3544,3895,4423,4846,5412,5976,6591,7377,7990,8620,9177,9715,10409,11100,11696,12276,13017,13689,14502,15301,16320,17576,18708,19822,20806,21746,22994,24214,25748,26783,28123,29210,30636,32426,34248,35642,37544,38915,41262,42965,45125,47339,50651,53021,55352,58036,60892,63542,66173,68703,71644,74152,77316,79850,82761,86741,90059,93207,96586,99990,102791,107172,110794,115462,120320,123979,128523,132302,136370,142416,148222,153384,158039,163556,168691,173808,179776,186306,192724,199980,207925,214084,221441,228240,236601,246263,254067,261512,269324,279205,289730,299861,310705,320031,329560
,Johannesburg,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,8,11,12,14,19,25,30,43,49,76,112,118,151,174,197,216,225,235,157,79,0,257,261,264,277,290,293,297,309,321,329,337,345,359,377,408,426,434,445,454,464,475,484,494,502,512,522,536,559,593,603,616,630,638,669,687,709,724,731,747,770,792,820,839,864,869,876,891,910,936,977,1029,1111,1129,1175,1205,1236,1330,1400,1486,1571,1587,1695,1799,1936,2089,2207,2323,2430,2671,2953,3260,3674,4145,4527,4681,4835,5428,5903,6409,7046,7731,8295,8926,9712,10673,11638,12730
,Eastern Cape,-32.1065,26.4645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,5,5,10,12,12,12,15,17,21,25,31,32,32,45,61,68,69,88,104,174,199,220,246,270,293,310,345,377,417,480,488,535,588,616,630,647,691,732,774,814,838,849,929,989,1078,1218,1356,1504,1534,1569,1662,1812,1936,2052,2135,2215,2324,2459,2569,2690,2748,2864,3047,3306,3583,3759,3927,4111,4324,4526,4936,5240,5629,5974,6341,6760,7154,7868,8615,9250,10027,10597,11039,11919,12639,13506,14721,15751,16895,18108,19214,20487,21938,23658,25099,26195
,Free State,-28.6815,27.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,13,18,30,49,49,68,72,72,74,76,84,84,85,87,89,89,91,93,94,94,96,96,98,98,98,100,100,100,105,106,106,106,111,111,111,111,113,113,116,118,121,122,125,128,130,134,134,134,135,135,135,138,145,151,153,158,163,168,180,184,185,196,202,208,214,221,225,231,261,278,285,299,319,322,336,348,361,373,391,401,406,435,457,495,512,578,608,649,658,700,733,772,814,889,976,1069,1160,1279,1377
,Gauteng,-26.009999999999998,28.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,6,10,17,24,31,45,61,76,109,125,132,207,302,319,409,409,533,584,618,633,645,663,672,693,704,713,713,782,795,801,813,865,890,909,930,969,1018,1101,1148,1170,1199,1224,1252,1281,1304,1331,1353,1377,1408,1446,1507,1598,1624,1651,1697,1720,1804,1851,1910,1952,1971,2014,2074,2135,2210,2262,2329,2343,2361,2400,2453,2521,2633,2773,2993,3043,3167,3329,3583,3773,4003,4231,4276,4567,4845,5215,5626,5946,6258,6546,7195,7953,8781,9897,11164,12193,13023,14620,15898,17261,18978,20822,22341,24041,26156,28746,31344,34285,36895,39841
,KwaZulu-Natal,-28.944,30.8825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6,7,8,10,11,12,12,16,19,22,23,26,35,60,80,91,134,134,156,167,171,179,186,206,215,232,246,257,257,354,387,412,418,443,465,489,519,539,591,604,617,639,671,758,807,841,841,863,902,919,956,980,1006,1051,1076,1106,1142,1149,1204,1253,1308,1353,1372,1394,1413,1444,1482,1498,1543,1567,1616,1650,1693,1735,1777,1815,1882,1927,2186,2349,2428,2476,2545,2565,2637,2707,2869,2936,3016,3108,3175,3255,3347,3472,3573,3763,3874,3959,4048,4238,4360,4548,4806,5030,5278,5625,6075,6590,7090,7786,8433,9041
,Limpopo,-23.774,29.1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,4,6,6,11,12,13,14,14,16,16,18,19,19,19,21,22,24,24,23,23,24,25,26,26,26,27,27,27,27,27,29,30,31,31,31,31,32,34,36,37,39,40,40,41,43,51,54,54,54,54,55,57,59,77,88,94,107,121,122,124,128,132,132,141,144,170,173,177,192,193,200,206,215,216,227,244,253,257,267,288,309,326,362,391,416,489,503,521,564,582,622,670,730,798,862,935,1011
,Mpumalanga,-25.744,30.1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,5,5,5,5,9,9,9,9,9,10,11,11,12,12,13,13,18,18,18,18,21,21,20,20,21,22,22,22,22,23,25,24,23,24,24,23,24,24,23,26,26,31,36,38,40,46,53,57,57,59,60,61,61,63,63,66,67,67,68,71,76,78,93,95,98,99,101,103,103,106,111,112,113,121,131,132,137,144,169,181,189,187,184,207,228,243,271,297,322,343,391,461,505,544,573,596,662,713,783,855,925,1015,1089
,Northern Cape,-28.8545,21.000999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,6,6,6,7,7,7,7,8,8,8,13,15,15,16,16,16,16,16,16,16,16,16,18,17,16,16,16,16,17,17,17,17,17,18,23,24,25,26,26,27,27,28,29,30,30,30,31,34,35,37,37,37,38,38,39,40,40,45,45,48,51,52,57,69,82,91,93,95,102,105,114,118,122,125,132,138,144,156,205,211,211,214,218,232,237,254,270,299,318,337,355,385,404
