Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20
,United Kingdom,55.3781,-3.4360000000000004,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,15,20,23,36,40,51,85,115,163,206,273,321,382,456,456,798,1140,1140,1543,1950,2626,2689,3983,5018,5683,6650,8077,9529,11658,14543,17089,19522,22141,25150,29474,33718,38168,41903,47806,51608,55242,60733,65077,73758,78991,84279,88621,93873,98476,103093,108692,114217,120067,124743,129044,133495,138078,143464,148377,152840,157149,161145,165221,171253,177454,182260,186599,190584,194990,201101,206715,211364,215260,219183,223060,226463,229705,233151,236711,240161,243695,246406,248818,249863,250908,254195,257154,259559,261184,265227,267240,269127,271222,272826,274762,276332,277985,279856,281661,283311,284868,286194,287399,289140,290143,291409,292950,294375,295889,296857
,Edinburgh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,10,14,16,16,17,19,20,23,25,26,34,40,50,64,80,87,108,120,155,179,205,235,275,308,333,359,404,432,462,495,529,539,572,601,640,677,716,777,809,824,876,927,973,1000,1032,1043,1059,1102,1145,1164,1194,1208,1222,1242,1272,1296,1315,1344,1364,1376,1386,1404,1422,1444,1468,1481,1485,1489,1494,1510,1523,1532,1541,1543,1547,1552,1556,1560,1565,1566,1569,1570,1574,1591,1596,1601,1603,1604,1606,1606,1609,1616,1621,1623,1623
,London,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,4,4,4,6,6,8,8,9,14,15,23,35,41,59,73,96,110,132,186,277,460,625,761,910,1075,1309,1619,1975,2308,2734,3084,3521,4208,4844,5600,6362,7182,7759,8352,9196,10111,11074,12098,13034,13751,14355,15192,16096,16929,17700,18273,18765,19179,19745,20301,20856,21347,21773,22079,22325,22704,23046,23321,23640,23887,24047,24138,24327,24508,24758,25013,25209,25336,25400,25549,25686,25830,25972,26066,26126,26161,26229,26307,26392,26478,26536,26560,26593,26647,26697,26756,26805,26844,26854,26872,26892,26920,26957,26992,27024,27041,27057,27079,27100,27144,27163,27186,27200,27217,27247,27274,27302,27317,27330,27337,27345,27345
,East Midlands,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,5,6,8,15,17,20,27,31,32,42,54,79,97,119,138,164,198,231,280,346,399,468,567,684,820,936,1090,1226,1385,1514,1721,1997,2293,2506,2765,2954,3102,3316,3519,3707,3939,4112,4280,4427,4563,4754,4928,5129,5321,5417,5570,5743,5889,6030,6172,6334,6445,6563,6730,6870,7004,7091,7184,7241,7275,7378,7456,7556,7699,7772,7848,7918,8021,8116,8224,8288,8374,8445,8514,8609,8673,8735,8804,8873,8922,8948,8988,9034,9087,9125,9168,9209,9239,9281,9327,9355,9374,9403,9416,9435,9465,9484,9525,9554,9585,9607,9636,9641
,East of England,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5,12,19,20,25,28,30,34,50,64,82,119,135,170,193,231,305,361,430,507,598,795,960,1148,1363,1607,1790,1999,2299,2621,2953,3318,3664,3927,4208,4591,4969,5366,5683,5996,6257,6499,6786,7069,7336,7628,7912,8160,8338,8626,8922,9220,9512,9798,10024,10180,10446,10682,10918,11134,11399,11535,11659,11899,12065,12223,12420,12509,12593,12662,12831,12959,13084,13150,13248,13301,13370,13503,13635,13726,13833,13925,13986,14029,14109,14162,14221,14265,14316,14349,14380,14429,14483,14525,14560,14588,14606,14632,14655,14705,14744,14772,14792,14803,14804,14805
,North East,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,5,7,7,10,14,15,17,23,29,39,46,62,76,95,121,144,164,222,298,374,471,573,686,793,969,1179,1487,1706,1967,2221,2442,2817,3168,3459,3773,4018,4285,4486,4718,4975,5200,5399,5618,5848,6007,6267,6502,6706,6924,7141,7265,7350,7551,7776,7989,8222,8382,8459,8526,8707,8851,8983,9103,9183,9284,9351,9435,9525,9587,9644,9697,9742,9779,9846,9897,9949,9997,10036,10063,10094,10123,10158,10210,10233,10259,10269,10282,10299,10320,10339,10353,10371,10384,10390,10400,10411,10432,10441,10449,10462,10466,10467
,North West,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,15,22,24,34,36,42,47,54,69,86,126,167,192,215,271,326,410,508,590,704,821,997,1252,1508,1865,2198,2519,2878,3383,3939,4556,5237,5919,6524,7148,8019,8811,9661,10465,11067,11678,12164,12772,13404,13990,14571,15145,15585,15955,16469,17019,17504,18006,18456,18758,19005,19384,19795,20197,20581,20924,21119,21306,21575,21872,22121,22341,22521,22690,22819,23075,23275,23464,23634,23807,23985,24136,24334,24569,24767,24904,25044,25149,25239,25342,25459,25557,25650,25752,25828,25886,25975,26078,26164,26234,26295,26334,26376,26429,26498,26591,26656,26734,26782,26809,26811
,South East,,,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,11,11,14,15,15,18,19,28,35,39,55,59,69,93,127,173,251,303,344,397,475,564,686,813,939,1068,1238,1518,1753,2058,2378,2709,3046,3340,3814,4281,4827,5306,5821,6277,6700,7291,8006,8561,9079,9647,10026,10469,11016,11523,12162,12773,13401,13797,14098,14552,15020,15459,15844,16242,16511,16723,16982,17324,17622,17919,18164,18340,18471,18679,18911,19092,19244,19366,19481,19599,19781,19942,20115,20243,20361,20432,20509,20663,20865,20999,21118,21225,21264,21324,21419,21502,21563,21613,21657,21704,21750,21808,21891,21970,22026,22085,22117,22141,22187,22227,22272,22304,22337,22365,22377,22377
,South West,,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,13,23,29,33,44,46,49,54,64,83,107,138,150,167,185,206,249,270,313,355,399,461,529,633,752,881,983,1083,1246,1386,1569,1752,1938,2112,2265,2449,2662,2897,3143,3377,3550,3728,3921,4106,4316,4555,4770,4915,5069,5242,5416,5568,5744,5866,5955,6013,6139,6252,6382,6463,6576,6642,6716,6790,6856,6922,6984,7025,7069,7113,7171,7196,7230,7265,7293,7321,7345,7385,7419,7471,7493,7519,7537,7549,7570,7593,7624,7660,7684,7702,7728,7751,7772,7801,7818,7835,7842,7853,7856,7860,7869,7877,7881,7884,7885,7888
,West Midlands,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,8,9,12,18,20,25,29,37,54,83,128,168,199,243,299,368,467,590,741,866,978,1217,1467,1707,2020,2299,2622,2986,3416,3828,4239,4686,5059,5392,5660,5991,6362,6715,7056,7409,7648,7884,8157,8474,8817,9181,9557,9875,10104,10448,10792,11110,11432,11773,12001,12188,12435,12701,12936,13139,13355,13539,13649,13798,14014,14168,14326,14504,14602,14678,14805,14932,15024,15117,15236,15315,15374,15458,15570,15651,15725,15809,15866,15908,15942,16004,16082,16141,16191,16232,16262,16312,16373,16413,16462,16495,16525,16543,16590,16631,16668,16702,16730,16757,16767,16774
