Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20
,US,37.0902,-95.7129,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,24,30,53,73,104,174,222,337,451,519,711,1109,1561,2157,2870,2968,4360,6141,8914,14153,19479,25818,33756,43845,54108,66044,84080,102254,122054,141194,162690,188701,214194,244593,276535,309699,337573,367210,397992,429686,464442,497943,527958,556517,581810,608845,637974,669272,701996,730317,756375,783716,809213,837414,871617,907908,940829,968517,990993,1015518,1042926,1072667,1106829,1136024,1161611,1184086,1208271,1233527,1261409,1288566,1314306,1334084,1352962,1374914,1396109,1423726,1449026,1474127,1493131,1514839,1535337,1558949,1584486,1608623,1630450,1651239,1670209,1689057,1707423,1730259,1754747,1778993,1799122,1816476,1837367,1857248,1878543,1903854,1926538,1944309,1961781,1979868,2000702,2023590,2048986,2074526,2094058,2114026,2137731,2163290,2191052,2222579,2255297,2281655,2312302,2347491,2382327,2422299,2467554,2510151,2548996,2590552
,Alabama,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,29,39,51,78,106,133,157,196,242,381,517,589,694,825,899,990,1063,1234,1495,1615,1765,1952,2171,2329,2703,2949,3219,3564,3734,3955,4076,4345,4572,4747,4888,5099,5317,5597,5845,6031,6226,6421,6542,6751,6912,7090,7318,7611,7888,8115,8438,8693,9046,9385,9670,9889,10164,10464,10700,11101,11383,11674,11771,12086,12393,13054,13289,13682,14117,14479,14987,15650,16032,16532,17032,17359,17953,18630,18815,18852,19073,19387,20043,20500,20925,21422,21989,22845,23710,24601,25616,26272,26912,27312,28206,29002,29549,30021,30454,31099,32064,33206,34183,35085,35457,37175
,Alaska,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,5,8,11,13,18,30,34,41,56,63,85,102,114,119,132,143,157,171,185,190,213,226,236,246,257,272,277,285,293,300,309,314,319,321,329,335,337,339,339,340,345,351,355,355,364,365,368,370,371,372,374,377,378,379,379,383,383,383,390,389,388,388,400,402,402,403,407,407,408,410,411,424,429,433,459,466,486,504,512,523,535,543,562,572,592,609,624,653,661,663,675,695,707,720,741,752,758,760,791,814,833,851,880,901
,Arizona,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,9,9,9,12,12,18,20,27,45,68,104,152,235,326,401,508,665,774,921,1157,1292,1413,1596,1769,2019,2271,2460,2575,2726,3018,3112,3396,3542,3705,3810,3985,4237,4511,4724,4933,5069,5256,5473,5772,6046,6288,6534,6725,6955,7209,7655,7969,8365,8640,8924,9305,9707,9945,10527,10960,11119,11383,11738,12222,12674,13169,13667,13945,14208,14576,14906,15348,15624,16054,16377,16575,16864,17320,17878,18472,19258,19936,20129,21264,22366,22889,24439,25452,26989,27678,28307,29852,31267,33040,34660,35706,36844,39185,40937,43445,46910,50128,52591,54599,58378,60190,63284,66659,70124,73920,74545
,Arkansas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,9,6,3,4,62,100,122,165,256,268,281,335,381,417,441,473,537,584,645,704,743,838,876,958,1000,1141,1171,1232,1280,1415,1499,1573,1625,1700,1751,1784,1974,1990,2276,2600,2810,2911,3002,3085,3128,3193,3314,3337,3377,3440,3493,3544,3631,3703,3752,3890,4028,4044,4167,4239,4371,4463,4583,4760,4814,4924,5003,5458,5619,5775,5923,6030,6180,6284,6538,6782,7014,7259,7443,7819,8072,8443,8653,9101,9426,9740,10088,10395,10818,11561,12096,12502,12919,13191,13631,13928,14632,15143,15564,16083,16678,17375,18065,18881,19310,19838,20257
,California,,,0,0,0,0,2,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,12,12,21,25,35,51,59,81,95,101,144,178,222,285,374,400,560,702,828,1007,1243,1405,1646,2108,2538,3001,3899,4657,5101,5852,7138,8211,9399,10773,12004,12837,15037,16019,17414,18898,19792,21081,21706,22801,23935,25364,26686,27677,29157,30491,31431,33687,35465,37344,39563,41355,42368,43558,44966,46173,48747,50130,52026,53347,54903,55884,58456,60617,62148,63779,66558,67600,69329,70978,72798,74872,76693,78753,80166,81457,83752,85998,88031,90252,92540,94022,96400,99387,101050,103813,106622,109896,111951,114756,117215,119348,122209,125738,128593,130615,133816,136641,139715,143378,146668,150018,152300,155726,158961,162798,167086,171159,175213,178546,184904,191501,195925,201112,206844,210601,215296,223646
,Colorado,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,12,17,34,49,78,103,136,161,183,216,278,364,475,595,723,912,1088,1430,1738,2062,2311,2644,3005,3369,3736,4174,4565,4950,5183,5437,5653,6183,6564,6895,7313,7702,7970,8293,8699,9074,9440,9730,10112,10474,10914,11279,12276,12968,13441,13881,14321,14778,15284,15793,16240,16635,16918,17413,17886,18422,18879,19375,19703,19930,20231,20542,20898,21274,21633,21938,22206,22491,22805,23191,23496,23964,24133,24307,24553,24774,25110,25598,26085,26364,26563,26774,27049,27348,27602,27834,27988,28170,28334,28486,28635,28808,29003,29115,29285,29428,29665,29888,30173,30333,30524,30691,30878,31140,31464,31781,32007,32290,32494
,Connecticut,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11,23,24,41,68,96,159,195,261,328,415,618,875,1012,1291,1524,1993,2571,3231,3557,3851,4914,5276,5705,6906,7781,7781,9784,10538,11510,12035,13407,13989,14755,15886,16843,17550,17962,19837,20400,22469,23114,23936,24583,25269,26020,26312,26767,27697,28803,29336,29654,29973,30621,31036,31823,32420,33039,33554,33780,34346,34869,35480,36085,36703,37454,38116,38442,39042,39237,39676,40022,40477,40890,41303,41371,41578,41762,42022,42201,42740,42979,43095,43245,43462,43818,43968,44097,44179,44350,44471,44701,44996,45138,45236,45352,45429,45479,45603,45715,45755,45787,45904,45917,45997,46063,46206,46281,46362
,Delaware,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,8,16,19,30,39,45,56,68,104,119,130,163,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1632,1758,1926,2014,2070,2317,2538,2538,2745,2926,3190,3316,3442,3579,4034,4162,4575,4660,4738,4921,5041,5208,5288,5371,5778,5943,6115,6280,6422,6565,6743,6952,7223,7375,7547,7670,7870,8039,8198,8392,8529,8529,8809,8967,9066,9099,9174,9239,9422,9500,9605,9686,9712,9746,9765,9861,9942,9975,10020,10056,10108,10173,10230,10265,10340,10403,10445,10499,10611,10681,10775,10822,10847,10889,10980,11038,11091,11226,11376
,District of Columbia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,31,40,71,98,102,120,141,187,231,271,304,342,401,495,586,653,757,902,1002,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248,10292
