Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20
,United Kingdom,55.3781,-3.4360000000000004,0,0,0,0,0,0,0,0,0,2,2,2,8,8,9,9,9,13,14,14,15,16,17,18,18,18,19,19,20,22,23,23,28,30,34,37,44,56,61,94,134,189,245,294,373,428,482,629,887,1298,1787,2266,2630,3072,3684,4452,5451,6506,7760,8957,10333,12668,15039,17732,20816,24017,26839,29696,33969,38484,43398,48263,53178,57198,60792,66067,71517,76646,81498,85813,89390,92885,97068,101393,106458,111756,116721,121437,125289,130147,134907,140397,145540,150513,154261,157729,162431,167152,172587,177543,182270,185491,188465,191843,195527,199358,203125,206174,208324,210645,214228,217617,220915,223524,226041,228106,229932,232506,235547,238253,240795,242825,244332,245680,247287,248937,250739,252473,253977,255076,256145,257579,259046,260388,261622,262727,263518,264235,265321,266474,267656,268657,269710,270597,271404,272430,273507,274504,275524,276504,277170,277792,278684,279566,280340,281037,281675,282308,282703,283307,283710,283770,283774,284276,284900,285416,285768,286349,286979
,Cardiff,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,5,9,15,22,33,40,55,66,79,90,115,134,163,197,230,269,298,353,412,484,568,632,678,707,784,859,923,1002,1049,1093,1133,1179,1239,1284,1334,1375,1412,1442,1486,1521,1558,1589,1614,1641,1655,1669,1694,1705,1736,1761,1780,1788,1795,1802,1813,1830,1838,1848,1862,1873,1886,1894,1900,1916,1926,1933,1942,1959,1972,1982,1993,2013,2022,2033,2038,2051,2069,2078,2084,2092,2102,2113,2129,2140,2143,2149,2153,2165,2175,2177,2182,2186,2191,2192,2196,2199,2203,2209,2212,2214,2217,2223,2225,2227,2230,2231,2241,2245,2247,2248,2249,2249,2251,2252,2253,2254,2254,2254
,Blaenau Gwent,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,9,10,12,13,15,23,25,28,31,35,40,46,51,54,59,68,83,89,97,106,118,122,138,143,158,165,170,180,182,190,199,209,219,229,238,240,247,247,255,258,263,269,271,272,274,276,278,280,289,291,292,299,303,310,310,313,313,314,314,314,314,318,322,325,326,327,329,329,330,331,331,333,333,334,334,334,334,335,335,335,335,335,335,336,337,338,338,338,338,339,339,340,342,342,343,344,344,344,345,345,347,347,347,347,347,347,349,349,351,352,352,352,352,353,353,353
,Bridgend,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,7,11,13,18,26,32,35,40,44,49,54,64,80,99,116,127,139,149,171,186,202,209,222,239,248,269,288,300,315,319,321,329,346,368,372,373,383,392,401,401,408,415,421,428,429,432,437,440,446,449,456,461,470,474,476,480,482,485,494,497,506,507,509,513,514,514,514,517,519,521,523,523,524,526,527,530,533,537,537,539,539,541,541,543,544,544,545,545,549,550,551,551,551,551,552,552,553,553,554,554,554,554,554,554,554,554,554,555,557,557,557
,Caerphilly,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,11,14,19,27,32,36,42,46,55,66,75,84,105,114,130,142,155,183,204,226,251,270,290,297,320,337,360,380,394,406,419,426,438,450,474,486,509,510,527,542,552,564,571,579,584,590,597,600,605,611,614,617,619,627,629,636,636,637,637,639,640,640,643,646,652,654,656,659,665,671,674,681,682,685,685,690,693,697,698,699,701,703,703,703,703,705,706,706,707,707,707,709,709,709,709,711,713,713,714,714,714,715,717,717,717,718,719,719,719,721,721,721,722,722,722,723,723,723
,Carmarthenshire,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,8,8,8,9,9,11,12,14,17,20,30,35,38,47,53,60,68,84,105,118,127,142,158,184,200,217,239,251,265,278,289,308,321,337,354,382,392,408,419,426,432,442,449,454,462,473,480,488,498,504,504,505,512,518,541,557,563,567,574,582,611,624,634,646,655,660,668,692,718,720,723,724,725,725,725,726,732,733,734,735,735,737,737,737,738,739,740,742,743,744,747,753,754,755,757,757,758,762,764,764,764,764,766,766,769,769,770,774,779,782,782,783,783,783,784,784,784,784
,Ceredigion,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,6,6,7,9,11,12,13,13,13,16,18,20,21,23,24,25,26,26,26,28,29,31,31,31,32,33,33,33,34,35,35,35,35,35,35,35,36,36,37,37,37,37,37,37,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,41,41,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,44,44,45,45,46,46,47,47,49,49,51,51,52,54,55,55,55,57,57,58,58,58,58,58,58,58,58,59,59,59,59,59,59
,Conwy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,6,7,7,9,10,11,15,16,20,22,25,27,34,39,46,54,57,67,77,82,89,103,109,122,132,142,166,178,186,193,202,207,215,219,231,238,247,261,264,269,280,284,293,300,306,314,316,355,369,386,400,411,422,427,432,445,457,471,485,492,494,500,511,517,522,540,545,548,553,558,561,565,568,572,573,579,585,595,598,606,610,613,620,625,627,632,639,640,640,644,650,652,656,656,659,662,664,664,664,666,666,667,667,667,668,668
,Denbighshire,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,7,9,12,14,15,22,22,28,35,45,45,49,61,76,85,96,110,114,126,133,148,156,165,179,192,198,213,217,222,230,237,240,245,253,259,269,282,286,291,296,303,314,331,344,351,356,359,371,384,394,408,425,445,451,466,483,513,529,543,543,549,562,573,592,597,610,620,625,639,645,652,660,665,669,670,675,677,683,685,686,691,691,693,696,699,703,705,707,710,710,711,712,713,713,713,714,714,717,719,719,720,720,720,720,720,720
,Flintshire,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,4,4,6,10,15,18,19,21,31,39,46,54,60,66,68,77,91,101,110,117,126,131,134,146,155,164,174,179,181,195,205,209,213,218,219,221,227,230,235,245,257,281,281,304,310,313,316,320,355,358,365,371,380,389,402,403,407,413,422,424,429,432,440,444,445,446,449,453,456,460,460,463,466,470,472,476,476,478,481,485,490,490,491,493,495,496,498,501,504,512,514,515,515,519,522,524,524,524,524,528,529,531,533,533,533,533,533,534,534
